operator_name,parent_company
Shane's Wind Machine LLC,Shane's Wind Machine LLC
Lincoln Electric System,Lincoln Electric
Case Western Reserve University,Case Western Reserve University
New London Municipal Utilities,New London Municipal Utilities
City of Geneseo - (IL),City of Geneseo - (IL)
Lime Wind LLC,Lime Wind LLC
Hawkeye Power Partners LLC,Hawkeye Power Partners LLC
"Hilltop Power, LLC","Hilltop Power, LLC"
Canton Mountain Wind LLC,Canton Mountain Wind LLC
Town of Otis,Town of Otis
"Apple Blossom Wind, LLC","Apple Blossom Wind, LLC"
Regents of the University of Minnesota,Regents of the University of Minnesota
Arkwright Summit Wind Farm LLC,Arkwright Summit Wind Farm LLC
"Thunder Ranch Wind Project, LLC","Thunder Ranch Wind Project, LLC"
"Rattlesnake Power, LLC",Rattlesnake
"Flat Top Wind I, LLC","Flat Top Wind I, LLC"
"Red Dirt Wind Project, LLC","Red Dirt Wind Project, LLC"
Hog Creek Wind Project LLC,Hog Creek Wind Project LLC
Cottonwood Wind Project,Cottonwood Wind Project
"Golden Hills Interconnection Wind, LLC",Golden Hills
Capricorn Ridge Wind LLC,Capricorn Ridge Wind LLC
Town of Ipswich - (MA),Town of Ipswich - (MA)
Meadow Lake Wind Farm V LLC,Meadow Lake Wind Farm V LLC
"Bearkat Wind Energy 1, LLC","Bearkat Wind Energy 1, LLC"
"WED Portsmouth One, LLC","WED Portsmouth One, LLC"
OEE XXIV LLC,OEE
Public Service Co of Colorado,Public Service Co of Colorado
OEE XXIII LLC,OEE
"Green Energy Machine, LLC","Green Energy Machine, LLC"
"Persimmon Creek Wind Farm 1, LLC","Persimmon Creek Wind Farm 1, LLC"
Seward Wind LLC,Seward Wind LLC
"Rattlesnake Creek Wind Project, LLC",Rattlesnake
"Northwest Ohio Wind, LLC","Northwest Ohio Wind, LLC"
West Texas A&M University,West Texas A&M University
"Kimball Wind, LLC","Kimball Wind, LLC"
"Enel Green Power Diamond Vista Wind Project, LLC",Enel
Desert Sky Wind Farm LP,Desert Sky Wind Farm LP
Trent Wind Farm LP,Trent Wind Farm LP
FPL Energy Upton Wind LP,FPL Energy
"Tahoka Wind, LLC","Tahoka Wind, LLC"
"Perennial Wind, LLC","Perennial Wind, LLC"
"Casa Mesa Wind, LLC","Casa Mesa Wind, LLC"
OEE XXV LLC,OEE
FPL Energy New Mexico Wind LLC,FPL Energy
Meadow Lake Wind Farm VI LLC,Meadow Lake Wind Farm VI LLC
"Pratt Wind, LLC","Pratt Wind, LLC"
Hale Wind Energy,Hale Wind Energy
"Wildcat Ranch Wind Project, LLC","Wildcat Ranch Wind Project, LLC"
"Lorenzo Wind, LLC","Lorenzo Wind, LLC"
"Hilltopper Wind Project, LLC","Hilltopper Wind Project, LLC"
Turtle Creek Wind Farm LLC,Turtle Creek Wind Farm LLC
"Foxtail Wind, LLC","Foxtail Wind, LLC"
"Armadillo Flats Wind Project, LLC","Armadillo Flats Wind Project, LLC"
"Palmer's Creek Wind Farm, LLC","Palmer's Creek Wind Farm, LLC"
"Blue Summit II Wind, LLC",Blue Summit
OEE XXVI LLC,OEE
"Midway Wind, LLC","Midway Wind, LLC"
"Foundation CA Fund IX Manager, LLC","Foundation CA Fund IX Manager, LLC"
